Id,SalePrice
1461,202674.41646580643
1462,182053.3520505338
1463,206614.67691081582
1464,172237.03556646255
1465,271708.8083494059
1466,148871.92608749575
1467,277410.015687991
1468,231104.2288428232
1469,132876.4461416077
1470,124721.59375
1471,131200.20986077038
1472,358066.53125
1473,133818.078125
1474,238318.07488921736
1475,158927.28339510618
1476,134485.44382806923
1477,158272.954150013
1478,106026.6708018002
1479,151714.8007633636
1480,126760.65333023213
1481,316481.5190208206
1482,130415.85352790033
1483,232990.76183192548
1484,142882.1878638695
1485,143795.78914108785
1486,263183.8773115644
1487,130169.13127307052
1488,283560.3076167817
1489,208004.550894025
1490,67099.20749164172
1491,74498.1524050422
1492,139409.546875
1493,193503.796875
1494,184768.8096171758
1495,276204.0471614032
1496,299833.13211581414
1497,149008.154001272
1498,171282.57768147692
1499,134548.45701806067
1500,89582.45370350598
1501,142519.140625
1502,183696.321725034
1503,138233.68969938785
1504,139015.54021694273
1505,138460.3085662233
1506,280779.479829471
1507,264033.7664144075
1508,234421.86043887786
1509,96999.9024355138
1510,128226.11305711717
1511,167001.453125
1512,117259.5859375
1513,110151.08239911102
1514,387873.9205044509
1515,119936.80091123575
1516,180125.56570397606
1517,203278.3937501873
1518,196549.10041726613
1519,444159.8125
1520,133182.19128558625
1521,176410.3859281333
1522,81871.79076757822
1523,203247.1164237896
1524,141054.71875
1525,232634.35110964207
1526,294468.16252153926
1527,245461.41794779687
1528,216050.99719922425
1529,53241.038587229225
1530,237084.06828192453
1531,306718.9609077748
1532,110879.95159663128
1533,180452.0708944938
1534,132018.43955979848
1535,102353.99378861288
1536,115699.7877608628
1537,112060.921875
1538,115834.7155267446
1539,134044.1494747565
1540,113890.50623845484
1541,210357.84826917312
1542,177743.954246424
1543,237838.49579430316
1544,121292.53208698209
1545,163567.48459960386
1546,275109.375
1547,180815.6692638463
1548,170910.09929552587
1549,47813.95672145825
1550,127361.01516111268
1551,120392.65274662536
1552,129652.43290564313
1553,150346.05539511284
1554,167483.10874198144
1555,193699.36059624774
1556,187299.27345978792
1557,217317.46875
1558,100927.47019726937
1559,71079.37225857025
1560,126250.91707408083
1561,203453.625
1562,172900.0050669644
1563,121730.99220272788
1564,176213.5859574475
1565,169745.5789925506
1566,262257.12456240866
1567,94825.57791764547
1568,86651.16745058054
1569,124127.568638204
1570,221341.86261787426
1571,144195.41589608355
1572,174222.4755894601
1573,335260.1875
1574,246673.26855008944
1575,245857.27304720477
1576,195585.3401315313
1577,108197.73619810757
1578,152053.19703926364
1579,330790.46875
1580,192949.02537654366
1581,179618.85304556848
1582,83071.11778537983
1583,140684.6677525159
1584,151758.13546005363
1585,180154.75
1586,95245.36071555747
1587,109422.88715163551
1588,94095.546875
1589,128556.57816187548
1590,136128.2691084051
1591,215279.08733912604
1592,219356.87725813728
1593,150539.03798170298
1594,221025.421875
1595,156216.14010924127
1596,188752.93311367775
1597,133559.26692381443
1598,169638.64591010712
1599,234240.125
1600,205742.25
1601,93755.37153338832
1602,253791.84375
1603,131267.44503490353
1604,228929.8330055363
1605,138305.49829537177
1606,139139.0390143066
1607,96340.7995849668
1608,226506.30949573766
1609,162972.08141630518
1610,118953.97883643533
1611,135869.703125
1612,350588.3443066634
1613,191082.36514121437
1614,223176.3308226097
1615,112182.69532213132
1616,87312.11000861553
1617,122432.5005254513
1618,270818.4777759787
1619,231713.0710437353
1620,293878.3214785976
